mean_loss,epsilon
20.0882701874,0.9950158
19.9010658264,0.9949528
19.6224956512,0.9948844
19.954996109,0.9948628
15.113732338,0.9948367
19.3954544067,0.9947899
19.9961528778,0.9947395
20.7280082703,0.9947188
23.4070549011,0.9946936
18.9320316315,0.9946621
18.3826313019,0.9946423
17.9035968781,0.9946144
17.6131362915,0.9945946
16.6062049866,0.994501
24.1271724701,0.9944785
21.4530582428,0.9944083
17.3396930695,0.9943606
20.7902603149,0.9942958
18.4361057281,0.9942742
16.1959629059,0.9942517
14.6230735779,0.9942292
18.4999809265,0.9942058
16.6787090302,0.9941833
24.0284423828,0.9941599
18.2507534027,0.9941374
18.9300937653,0.9941158
16.6555080414,0.9940924
20.8248672485,0.9940708
19.9466686249,0.9940033
24.6229686737,0.9939808
19.0952224731,0.9939565
14.2783918381,0.9939349
18.5079593658,0.9939133
15.9121732712,0.9938908
20.8895530701,0.993871
19.9532489777,0.9938485
18.0017776489,0.9937855
17.5757102966,0.9937594
17.8339881897,0.9936955
17.122379303,0.9936694
18.970375061,0.9936397
16.9369792938,0.9936136
19.69597435,0.9935938
16.1431789398,0.9935713
20.1910629272,0.9934813
21.1165752411,0.9934615
18.6789169312,0.9934372
19.2906742096,0.9934093
22.4508514404,0.9933832
19.032743454,0.9933571
19.9036197662,0.9933373
16.0111064911,0.9933049
18.2994098663,0.9932851
18.396604538,0.9932635
12.0581159592,0.9932419
18.0759525299,0.9932203
18.9317054749,0.9931933
13.6502103806,0.9931699
18.4872264862,0.9931474
21.4729537964,0.9931249
17.0166072845,0.9930997
20.2419052124,0.9930754
20.2826251984,0.9929845
20.3998966217,0.9929629
19.9381523132,0.9929386
23.3575325012,0.9929134
21.0991764069,0.99289
21.9340629578,0.9928702
17.881986618,0.9928468
21.2892971039,0.9928252
19.0405445099,0.9927586
18.8552398682,0.992737
22.2806911469,0.9926497
17.3388252258,0.9926011
22.213470459,0.9925795
21.1043338776,0.9925534
14.9654951096,0.9925318
19.2233543396,0.9925039
15.2903251648,0.9924805
17.4045276642,0.9924589
18.7866802216,0.9923518
